,accuracy,days_later,f1_score,name,window
165,0.6138129496402878,14.0,0.7303678226739334,KNN_50,2.0
166,0.6002877697841726,14.0,0.7342211903772726,KNN_75,2.0
167,0.5976978417266187,14.0,0.7377235961232865,KNN_100,2.0
168,0.6057553956834532,14.0,0.7283518066947021,LinDisc,2.0
169,0.6184172661870504,14.0,0.7343943102833519,Deci_Tree_3,2.0
170,0.6451798561151079,14.0,0.738955290805328,Deci_Tree_6,2.0
171,0.676546762589928,14.0,0.7511366597299375,Deci_Tree_9,2.0
172,0.7044604316546763,14.0,0.7557457637914047,Deci_Tree_15,2.0
173,0.7263309352517985,14.0,0.7753380258554053,Deci_Tree_normal,2.0
174,0.6086330935251799,14.0,0.7367000948750001,Log_Reg,2.0
175,0.7939568345323741,14.0,0.8294505598946988,Random_Forest_10,2.0
176,0.8115107913669064,14.0,0.8482707623115122,Random_Forest_20,2.0
177,0.8250359712230215,14.0,0.8607826911467111,Random_Forest_30,2.0
178,0.8313669064748203,14.0,0.867223018719411,Random_Forest_50,2.0
179,0.8333812949640288,14.0,0.8700185339676022,Random_Forest_75,2.0
180,0.8385611510791368,14.0,0.8733933780251754,Random_Forest_100,2.0
181,0.8353956834532374,14.0,0.871182674340363,Random_Forest_150,2.0
182,0.8385611510791368,14.0,0.8736466952455872,Random_Forest_200,2.0
183,0.7326618705035972,14.0,0.7970667235127523,Gradient_Boosting_100,2.0
184,0.7458992805755396,14.0,0.8042758169351281,Gradient_Boosting_120,2.0
185,0.7559712230215826,14.0,0.8106104176009321,XGB_30,2.0
186,0.777841726618705,14.0,0.8263881044424481,XGB_50,2.0
187,0.7864748201438849,14.0,0.8315151169672669,XGB_70,2.0
188,0.799136690647482,14.0,0.8404696632563624,XGB_100,2.0
189,0.6704184704184704,21.0,0.7823605657830373,SVC_rbf,2.0
190,0.6704184704184704,21.0,0.7823605657830373,SVC_normal,2.0
191,0.6516594516594517,21.0,0.75760801095846,KNN_25,2.0
192,0.6401154401154402,21.0,0.7574154846496762,KNN_50,2.0
193,0.6378066378066378,21.0,0.7626804825968664,KNN_75,2.0
194,0.6297258297258297,21.0,0.7608409638407345,KNN_100,2.0
195,0.6430014430014431,21.0,0.7525210087129942,LinDisc,2.0
196,0.6525252525252526,21.0,0.750464175885797,Deci_Tree_3,2.0
197,0.6816738816738817,21.0,0.7684591138932382,Deci_Tree_6,2.0
198,0.7111111111111111,21.0,0.7743522668350651,Deci_Tree_9,2.0
199,0.75007215007215,21.0,0.8031613048968385,Deci_Tree_15,2.0
200,0.750937950937951,21.0,0.8025075522118458,Deci_Tree_normal,2.0
201,0.645887445887446,21.0,0.7625144908829405,Log_Reg,2.0
202,0.8210678210678211,21.0,0.858165050887496,Random_Forest_10,2.0
203,0.8421356421356421,21.0,0.8769345449909725,Random_Forest_20,2.0
204,0.8525252525252526,21.0,0.8859967193923758,Random_Forest_30,2.0
205,0.8608946608946608,21.0,0.8930593780158917,Random_Forest_50,2.0
206,0.864935064935065,21.0,0.8968592845271054,Random_Forest_75,2.0
207,0.8704184704184703,21.0,0.9004389382224879,Random_Forest_100,2.0
208,0.8686868686868687,21.0,0.899307460194368,Random_Forest_150,2.0
209,0.8712842712842713,21.0,0.9015961674986357,Random_Forest_200,2.0
210,0.7639249639249639,21.0,0.8257516601604837,Gradient_Boosting_100,2.0
211,0.7682539682539682,21.0,0.8278060521749536,Gradient_Boosting_120,2.0
212,0.8164502164502165,21.0,0.8609997694425499,XGB_30,2.0
213,0.8329004329004329,21.0,0.8720318367915769,XGB_50,2.0
214,0.8383838383838385,21.0,0.8758230574258568,XGB_70,2.0
215,0.8461760461760461,21.0,0.8808292321493374,XGB_100,2.0
216,0.5078909612625538,1.0,0.6132001549207742,SVC_rbf,3.0
217,0.5078909612625538,1.0,0.6132001549207742,SVC_normal,3.0
218,0.5196556671449069,1.0,0.5730422253590642,KNN_25,3.0
219,0.5058823529411764,1.0,0.5498370059784518,KNN_50,3.0
220,0.5144906743185078,1.0,0.5927695335815069,KNN_75,3.0
221,0.5119081779053085,1.0,0.5873818434594403,KNN_100,3.0
222,0.5256814921090387,1.0,0.5885374319488698,LinDisc,3.0
223,0.5219512195121953,1.0,0.5695621807491601,Deci_Tree_3,3.0
224,0.5288378766140603,1.0,0.6122927690232526,Deci_Tree_6,3.0
225,0.527116212338594,1.0,0.5814598251116808,Deci_Tree_9,3.0
226,0.5296987087517934,1.0,0.5528876871975752,Deci_Tree_15,3.0
227,0.5279770444763271,1.0,0.5594243404956705,Deci_Tree_normal,3.0
228,0.5196556671449067,1.0,0.585921274854323,Log_Reg,3.0
229,0.5107604017216643,1.0,0.49713316492994614,Random_Forest_10,3.0
230,0.5098995695839312,1.0,0.5247115998449075,Random_Forest_20,3.0
231,0.5162123385939742,1.0,0.5437318514851043,Random_Forest_30,3.0
232,0.5164992826398852,1.0,0.5553220478976061,Random_Forest_50,3.0
233,0.5187948350071736,1.0,0.5679642050891892,Random_Forest_75,3.0
234,0.5222381635581061,1.0,0.5658617597298456,Random_Forest_100,3.0
235,0.5253945480631276,1.0,0.5698806547184336,Random_Forest_150,3.0
236,0.5279770444763271,1.0,0.5764598648263924,Random_Forest_200,3.0
237,0.5208034433285509,1.0,0.5703834748415507,Gradient_Boosting_100,3.0
238,0.5147776183644189,1.0,0.5593079548420402,Gradient_Boosting_120,3.0
239,0.5012912482065996,1.0,0.5416295558027013,XGB_30,3.0
240,0.5076040172166427,1.0,0.5464229213015452,XGB_50,3.0
241,0.5136298421807748,1.0,0.5508833304003194,XGB_70,3.0
242,0.5162123385939742,1.0,0.5530428997924745,XGB_100,3.0
243,0.6011494252873563,7.0,0.7311780644765588,SVC_rbf,3.0
244,0.6011494252873563,7.0,0.7311780644765588,SVC_normal,3.0
245,0.6022988505747126,7.0,0.702936065972119,KNN_25,3.0
246,0.5870689655172414,7.0,0.6995492940084249,KNN_50,3.0
247,0.5804597701149425,7.0,0.7106405892492507,KNN_75,3.0
248,0.5836206896551724,7.0,0.719675477844094,KNN_100,3.0
249,0.567528735632184,7.0,0.6901013122036017,LinDisc,3.0
250,0.5678160919540229,7.0,0.712344458118821,Deci_Tree_3,3.0
251,0.5810344827586207,7.0,0.675702417240384,Deci_Tree_6,3.0
252,0.6040229885057471,7.0,0.6691007069799483,Deci_Tree_9,3.0
253,0.6341954022988506,7.0,0.6904210910828791,Deci_Tree_15,3.0
254,0.6313218390804598,7.0,0.6834383062552751,Deci_Tree_normal,3.0
255,0.5617816091954022,7.0,0.6915308967358152,Log_Reg,3.0
256,0.6847701149425287,7.0,0.7267545614447691,Random_Forest_10,3.0
257,0.7204022988505747,7.0,0.7687980014227994,Random_Forest_20,3.0
258,0.7336206896551725,7.0,0.7841681243128111,Random_Forest_30,3.0
259,0.7451149425287357,7.0,0.7959873174758034,Random_Forest_50,3.0
260,0.7477011494252872,7.0,0.8021879117607604,Random_Forest_75,3.0
261,0.7517241379310345,7.0,0.8033267142683392,Random_Forest_100,3.0
262,0.7525862068965518,7.0,0.8045105027907781,Random_Forest_150,3.0
263,0.7580459770114942,7.0,0.8093786644753036,Random_Forest_200,3.0
264,0.6477011494252873,7.0,0.7273002611641184,Gradient_Boosting_100,3.0
265,0.6594827586206896,7.0,0.7332473591420255,Gradient_Boosting_120,3.0
266,0.6836206896551724,7.0,0.7468353495482252,XGB_30,3.0
267,0.6974137931034482,7.0,0.7545217422964223,XGB_50,3.0
268,0.7057471264367817,7.0,0.7605508811708303,XGB_70,3.0
269,0.7146551724137931,7.0,0.7675280371066882,XGB_100,3.0
270,0.6319884726224784,14.0,0.7573465448099422,SVC_rbf,3.0
271,0.6319884726224784,14.0,0.7573465448099422,SVC_normal,3.0
272,0.6432276657060518,14.0,0.7415004904864284,KNN_25,3.0
273,0.6121037463976945,14.0,0.7299970757998002,KNN_50,3.0
274,0.5974063400576369,14.0,0.731809202249854,KNN_75,3.0
275,0.5982708933717579,14.0,0.7379589335830624,KNN_100,3.0
276,0.5985590778097982,14.0,0.718168228221319,LinDisc,3.0
277,0.621613832853026,14.0,0.7439978936973011,Deci_Tree_3,3.0
278,0.637463976945245,14.0,0.7428908413675178,Deci_Tree_6,3.0
279,0.6432276657060518,14.0,0.7176198055319312,Deci_Tree_9,3.0
280,0.6838616714697408,14.0,0.7374682922164307,Deci_Tree_15,3.0
281,0.694236311239193,14.0,0.74344649406646,Deci_Tree_normal,3.0
282,0.6089337175792509,14.0,0.7331646217039771,Log_Reg,3.0
283,0.7809798270893371,14.0,0.8194222622202127,Random_Forest_10,3.0
284,0.8123919308357349,14.0,0.849518459485099,Random_Forest_20,3.0
285,0.8224783861671471,14.0,0.8589410328121991,Random_Forest_30,3.0
286,0.8250720461095101,14.0,0.8624838373485384,Random_Forest_50,3.0
287,0.8204610951008645,14.0,0.8598912813694485,Random_Forest_75,3.0
288,0.8296829971181555,14.0,0.8661073502031333,Random_Forest_100,3.0
289,0.8302593659942363,14.0,0.866995328765087,Random_Forest_150,3.0
290,0.8328530259365994,14.0,0.8691751875006662,Random_Forest_200,3.0
291,0.7216138328530259,14.0,0.7870650942894573,Gradient_Boosting_100,3.0
292,0.7282420749279539,14.0,0.7905152572489044,Gradient_Boosting_120,3.0
293,0.7414985590778098,14.0,0.7997462681815823,XGB_30,3.0
294,0.7651296829971181,14.0,0.8146834803365932,XGB_50,3.0
295,0.7746397694524495,14.0,0.8216961126174889,XGB_70,3.0
296,0.7847262247838616,14.0,0.8287559743848831,XGB_100,3.0
297,0.6767676767676768,21.0,0.7864090634711352,SVC_rbf,3.0
298,0.6767676767676768,21.0,0.7864090634711352,SVC_normal,3.0
299,0.6525252525252525,21.0,0.7574733824585305,KNN_25,3.0
300,0.6334776334776334,21.0,0.750881541478783,KNN_50,3.0
301,0.6291486291486292,21.0,0.7575828762655527,KNN_75,3.0
302,0.6282828282828283,21.0,0.759256969376742,KNN_100,3.0
303,0.649062049062049,21.0,0.7540429078946065,LinDisc,3.0
304,0.645021645021645,21.0,0.7408249443084293,Deci_Tree_3,3.0
305,0.6727272727272728,21.0,0.7669631117839844,Deci_Tree_6,3.0
